GEOCODIGO_MUNICIPIO, NOME_MUNICIPIO, LONGITUDE, LATITUDE, POPULAÇÃO_TOTAL, Ger_RSD_(T/dia), Ger_RCD_(T/dia), Ger_RSS_(T/dia), Geração_Total_(T/dia)
5216809, PETROLINA_DE_GOIÁS, -49.339, -16.097, 10283, 3.81, 8.57, 0.0349, 12.41
5216908, PILAR_DE_GOIÁS, -49.575, -14.766, 2773, 0.68, 1.54, 0.0063, 2.23
5217104, PIRACANJUBA, -49.025, -17.302, 24026, 11.41, 22.50, 0.0916, 34.00
5217203, PIRANHAS, -51.822, -16.421, 11266, 5.17, 11.63, 0.0474, 16.85
5217302, PIRENÓPOLIS, -48.963, -15.853, 23006, 10.12, 19.95, 0.0812, 30.15
5217401, PIRES_DO_RIO, -48.280, -17.301, 28762, 17.61, 34.74, 0.1414, 52.49
5217609, PLANALTINA, -47.615, -15.453, 81649, 53.53, 124.33, 0.4050, 178.27
5217708, PONTALINA, -49.448, -17.515, 17121, 9.03, 17.82, 0.0725, 26.92
5218003, PORANGATU, -49.146, -13.442, 42355, 23.23, 45.81, 0.1865, 69.22
5218052, PORTEIRÃO, -50.164, -17.815, 3347, 1.67, 3.76, 0.0153, 5.44
5218102, PORTELÂNDIA, -52.681, -17.353, 3839, 1.77, 3.99, 0.0162, 5.78
5218300, POSSE, -46.362, -14.088, 31419, 15.56, 30.69, 0.1250, 46.38
5218391, PROFESSOR_JAMIL, -49.237, -17.248, 3239, 1.29, 2.90, 0.0118, 4.20
5218508, QUIRINÓPOLIS, -50.452, -18.452, 43220, 24.81, 48.93, 0.1992, 73.93
5218607, RIALMA, -49.584, -15.315, 10523, 5.58, 12.56, 0.0511, 18.20
5218706, RIANÁPOLIS, -49.510, -15.442, 4566, 2.33, 5.23, 0.0213, 7.58
5218789, RIO_QUENTE, -48.773, -17.768, 3312, 1.62, 3.64, 0.0148, 5.27
5218805, RIO_VERDE, -50.930, -17.795, 176424, 129.20, 366.92, 0.8537, 496.97
5218904, RUBIATABA, -49.803, -15.164, 18915, 10.52, 20.75, 0.0845, 31.35
5219001, SANCLERLÂNDIA, -50.316, -16.201, 7550, 3.46, 7.78, 0.0317, 11.27
5219100, SANTA_BÁRBARA_DE_GOIÁS, -49.690, -16.577, 5751, 2.97, 6.67, 0.0272, 9.67
5219209, SANTA_CRUZ_DE_GOIÁS, -48.477, -17.322, 3142, 0.56, 1.26, 0.0051, 1.82
5219258, SANTA_FÉ_DE_GOIÁS, -51.109, -15.771, 4762, 2.17, 4.89, 0.0199, 7.08
5219308, SANTA_HELENA_DE_GOIÁS, -50.598, -17.812, 36469, 22.63, 44.63, 0.1817, 67.45
5219357, SANTA_ISABEL, -49.428, -15.302, 3686, 0.78, 1.75, 0.0071, 2.54
5219407, SANTA_RITA_DO_ARAGUAIA, -53.205, -17.326, 6924, 3.51, 7.90, 0.0321, 11.44
5219456, SANTA_RITA_DO_NOVO_DESTINO, -49.120, -15.135, 3173, 0.63, 1.43, 0.0058, 2.07
5219506, SANTA_ROSA_DE_GOIÁS, -49.492, -16.080, 2909, 1.24, 2.79, 0.0114, 4.04
5219605, SANTA_TEREZA_DE_GOIÁS, -49.015, -13.713, 3995, 1.91, 4.30, 0.0175, 6.23
5219704, SANTA_TEREZINHA_DE_GOIÁS, -49.706, -14.433, 10302, 4.43, 9.96, 0.0405, 14.43
5219712, SANTO_ANTÔNIO_DA_BARRA, -50.634, -17.556, 4423, 1.92, 4.32, 0.0176, 6.26
5219738, SANTO_ANTÔNIO_DE_GOIÁS, -49.310, -16.483, 4703, 2.43, 5.48, 0.0223, 7.93
5219753, SANTO_ANTÔNIO_DO_DESCOBERTO, -48.256, -15.944, 63248, 39.20, 91.04, 0.2965, 130.53
5219803, SÃO_DOMINGOS, -46.315, -13.402, 11272, 3.29, 7.40, 0.0301, 10.72
5219902, SÃO_FRANCISCO_DE_GOIÁS, -49.262, -15.923, 6120, 2.54, 5.72, 0.0233, 8.29
5220009, SÃO_JOÃO_D'ALIANÇA, -47.519, -14.708, 1689, 3.83, 8.62, 0.0351, 12.49
5220058, SÃO_JOÃO_DA_PARAÚNA, -50.405, -16.815, 10257, 0.73, 1.64, 0.0067, 2.37
5220108, SÃO_LUÍS_DE_MONTES_BELOS, -50.374, -16.520, 30034, 17.28, 34.08, 0.1388, 51.50
5220157, SÃO_LUÍZ_DO_NORTE, -49.332, -14.862, 4617, 2.23, 5.01, 0.0204, 7.26
5220207, SÃO_MIGUEL_DO_ARAGUAIA, -50.164, -13.276, 22283, 11.48, 22.64, 0.0922, 34.21
5220264, SÃO_MIGUEL_DO_PASSA_QUATRO, -48.665, -17.051, 3757, 1.18, 2.66, 0.0108, 3.85
5220280, SÃO_PATRÍCIO, -49.816, -15.352, 1991, 0.67, 1.50, 0.0061, 2.17
5220405, SÃO_SIMÃO, -50.550, -18.990, 17088, 10.60, 20.91, 0.0851, 31.59
